Data;Cód. Assessor;Cód. Conta;Perfil de Investimentos;Custódia Total;Política Cadastrada;Política Sugerida;Segmentação;Aderência da Carteira;Gap Over;Gap Under;% Rentabilidade Relativa;% Saldo Global
202606;A51229;2454169;AGRESSIVO;R$ 21.786;Conservadora;Moderada;1-Menor que 50;81,8%;R$ 3.922;R$ 243;68%;0%
202606;A51229;12920694;MODERADO;R$ 17.741;;;1-Menor que 50;100,0%;R$ 0;R$ 0;104%;0%
202606;A51229;14534207;AGRESSIVO;R$ 15.898;Moderada;Conservadora;1-Menor que 50;70,1%;R$ 4.754;R$ 15;90%;36%
202606;A51229;2400088;AGRESSIVO;R$ 11.856;Moderada;Conservadora;1-Menor que 50;43,4%;R$ 6.639;R$ 118;-19%;0%
202606;A51229;18060119;AGRESSIVO;R$ 10.257;Conservadora;Sofisticada;1-Menor que 50;6,3%;R$ 7.607;R$ 2.137;-6%;0%
202606;A51229;17161702;AGRESSIVO;R$ 8.791;Conservadora;Moderada;1-Menor que 50;100,0%;R$ 0;R$ 2.960;;0%
202606;A51229;12163084;AGRESSIVO;R$ 8.211;Moderada;Conservadora;1-Menor que 50;45,4%;R$ 4.253;R$ 428;-16%;0%
202606;A51229;4500346;AGRESSIVO;R$ 8.020;Moderada;Moderada;1-Menor que 50;43,5%;R$ 4.476;R$ 95;69%;0%
202606;A51229;18184973;AGRESSIVO;R$ 7.382;Sofisticada;Sofisticada;1-Menor que 50;100,0%;R$ 0;R$ 7.321;2%;0%
202606;A51229;2527082;AGRESSIVO;R$ 6.401;Moderada;Sofisticada;1-Menor que 50;35,6%;R$ 4.113;R$ 18;56%;0%
202606;A51229;17301788;AGRESSIVO;R$ 4.734;Moderada;Conservadora;1-Menor que 50;43,7%;R$ 2.625;R$ 73;46%;0%
202606;A51229;571386;MODERADO;R$ 4.688;Conservadora;;1-Menor que 50;17,5%;R$ 3.867;R$ 0;;0%
202606;A51229;16777250;MODERADO;R$ 4.127;Conservadora;Sofisticada;1-Menor que 50;11,2%;R$ 1.641;R$ 2.280;;0%
202606;A51229;16546516;AGRESSIVO;R$ 4.060;Moderada;Sofisticada;1-Menor que 50;12,6%;R$ 3.506;R$ 47;-9%;14%
202606;A51229;16515363;AGRESSIVO;R$ 2.761;Moderada;Sofisticada;1-Menor que 50;43,8%;R$ 1.303;R$ 445;-83%;0%
202606;A51229;9823367;MODERADO;R$ 1.856;Moderada;Conservadora;1-Menor que 50;44,7%;R$ 989;R$ 69;98%;76%
202606;A51229;17234068;MODERADO;R$ 1.632;Conservadora;Moderada;1-Menor que 50;85,7%;R$ 217;R$ 109;;0%
202606;A51229;2777619;MODERADO;R$ 512;Conservadora;Sofisticada;1-Menor que 50;4,8%;R$ 413;R$ 78;;0%
202606;A51229;19366472;CONSERVADOR;R$ 426;Conservadora;Sofisticada;1-Menor que 50;NaN;R$ 0;R$ 426;139%;0%
202606;A51229;16147876;CONSERVADOR;R$ 350;Conservadora;Conservadora;1-Menor que 50;93,1%;R$ 21;R$ 49;;0%
202606;A51229;15620363;AGRESSIVO;R$ 179;Sofisticada;Sofisticada;1-Menor que 50;NaN;R$ 0;R$ 179;;0%
;;;;;;;;;;;;
"Filtros aplicados:
CUSTODIA_TOTAL_hist não está em branco
dsc_matriz é Dom Investimentos";;;;;;;;;;;;
